OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester
1,2020/03/15 14:00:00+00,,2,3,1,,,1,,1,,,,2,,,12,9,,,,,,,
2,2020/03/16 14:00:00+00,,1,4,1,,,1,,1,,,,2,1,,10,15,,,,1,,,
3,2020/03/17 14:00:00+00,,3,6,1,,,1,,1,,1,,2,3,,24,14,,,,1,,,
4,2020/03/18 14:00:00+00,,4,10,4,,,1,,2,,1,,3,8,,31,20,,,,1,,,
5,2020/03/19 14:00:00+00,,5,12,8,1,,2,,2,,1,,3,16,,33,23,,,,1,,,
6,2020/03/20 14:00:00+00,,10,13,11,1,,3,,2,,1,,5,18,,51,31,,,,1,,1,1
7,2020/03/21 14:00:00+00,,15,19,15,1,,3,,4,,1,,5,19,,68,36,,,,1,,2,1
8,2020/03/22 14:00:00+00,,18,28,24,2,1,4,1,4,,1,,5,24,,83,40,,1,1,1,1,2,2
9,2020/03/23 14:00:00+00,,20,35,31,2,1,5,1,5,,2,3,5,26,,93,47,1,1,1,1,2,4,2
10,2020/03/24 14:00:00+00,,24,42,41,3,1,5,3,5,,4,3,5,30,,107,63,1,1,2,1,2,4,2
11,2020/03/25 14:00:00+00,,31,51,53,3,1,5,4,8,,7,3,5,35,1,127,76,1,1,2,1,2,4,2
12,2020/03/26 14:00:00+00,,41,81,72,7,1,7,4,10,,14,3,9,49,1,164,101,1,1,4,1,2,5,2
13,2020/03/27 14:00:00+00,,63,103,88,9,1,9,9,17,,15,3,18,62,2,208,148,1,1,4,1,5,5,2
14,2020/03/28 14:00:00+00,,88,141,112,8,1,10,13,21,,22,3,21,73,2,255,196,1,1,8,2,6,6,2
15,2020/03/29 14:00:00+00,,99,162,129,10,3,82,13,28,,24,3,23,81,3,301,247,4,1,8,3,6,6,2
16,2020/03/30 14:00:00+00,,110,186,152,12,4,82,13,33,,26,3,24,96,3,341,294,4,1,9,4,7,6,3
17,2020/03/31 14:00:00+00,,127,227,187,15,4,92,14,40,,33,3,25,117,3,388,341,4,1,15,3,11,7,3
18,2020/04/01 14:00:00+00,,158,289,221,18,4,96,16,56,1,35,3,34,142,3,447,403,7,4,19,3,15,7,4
19,2020/04/02 14:00:00+00,1,206,353,265,22,4,105,20,69,1,45,3,37,152,5,498,473,8,4,27,4,17,7,5
20,2020/04/03 14:00:00+00,2,249,427,313,30,4,129,25,90,1,54,3,41,166,5,566,563,12,4,30,5,27,7,5
21,2020/04/04 14:00:00+00,3,289,491,343,33,4,134,33,95,1,73,3,44,180,5,640,653,13,4,34,6,29,8,7
22,2020/04/05 14:00:00+00,6,319,590,394,39,4,142,36,111,1,112,3,52,199,5,693,785,13,4,40,7,34,11,9
23,2020/04/06 14:00:00+00,6,343,648,435,40,6,150,37,129,1,138,3,55,214,5,793,916,15,4,41,8,37,11,10
24,2020/04/07 14:00:00+00,7,370,652,459,41,11,159,41,136,3,151,3,59,236,8,871,1020,15,4,46,8,44,17,10
25,2020/04/08 14:00:00+00,6,466,866,571,56,11,186,49,164,4,199,5,86,274,9,1088,1310,16,4,62,10,57,20,10
26,2020/04/09 14:00:00+00,8,505,979,638,66,12,203,54,180,7,233,5,101,299,9,1214,1476,17,4,65,13,60,21,16
27,2020/04/10 14:00:00+00,10,554,1072,689,76,12,214,64,220,7,289,4,110,319,9,1388,1716,17,4,71,13,66,28,16
28,2020/04/11 14:00:00+00,11,615,1173,756,82,15,214,66,235,8,341,4,120,351,10,1537,1923,19,4,73,13,72,33,19
29,2020/04/12 14:00:00+00,13,659,1257,812,90,17,236,74,253,9,368,4,129,371,11,1631,2035,19,4,82,14,75,42,20
30,2020/04/13 14:00:00+00,15,724,1361,873,94,21,250,83,274,12,417,4,142,386,11,1756,2205,19,6,95,16,93,58,21
31,2020/04/14 14:00:00+00,17,783,1377,962,99,21,259,85,292,14,441,4,147,403,11,1883,2356,19,5,98,16,96,63,21
32,2020/04/15 14:00:00+00,17,845,1485,1060,102,22,262,90,310,16,442,4,152,424,11,1933,2516,19,5,99,14,106,76,22
33,2020/04/16 14:00:00+00,20,896,1516,1160,103,23,283,101,327,18,497,4,161,451,11,2133,2722,19,6,98,14,109,87,25
34,2020/04/17 14:00:00+00,26,966,1569,1273,109,28,288,127,337,20,525,4,176,475,14,2280,2966,19,9,100,14,116,103,28
35,2020/04/18 14:00:00+00,33,1005,1664,1378,109,33,308,131,347,20,557,4,195,508,16,2404,3160,24,10,101,16,116,138,31
36,2020/04/19 14:00:00+00,33,1047,1733,1392,113,33,313,131,370,21,591,4,210,515,18,2507,3345,25,10,105,19,117,145,33
